Wordform	Lemma	POS	Gram
Цветки	цветок	S	m,nom,pl
дикорастущих	дикорастущий	A	pl,m,gen
форм	форма	S	f,gen,pl
обыкновенной	обыкновенный	A	sg,f,gen
сирени	сирень	S	f,gen,sg
мелкие	мелкий	A	pl,m,nom
,			
собраны	собрать	V	partcp,pass,past,pl,nom,brev
парными	парный	A	pl,m,ins
пучками	пучок	S	m,ins,pl
(			
по	по	PR	
3	3		
-			
5	5		
цветков	цветок	S	m,gen,pl
в	в	PR	
пучке	пучок	S	m,loc,sg
,			
отдельные	отдельный	A	pl,m,nom
сорта	сорт	S	m,nom,pl
по	по	PR	
7	7		
-			
9	9		
цветков	цветок	S	m,gen,pl
)			
.			
В	в	PR	
конце	конец	S	m,loc,sg
осени	осень	S	f,gen,sg
кора	кора	S	f,nom,sg
побегов	побег	S	m,gen,pl
становится	становиться	V	pres,3p,sg
серой	серый	A	sg,f,ins
.			
В	в	PR	
центре	центр	S	m,loc,sg
цветка	цветок	S	m,gen,sg
бело-кремовое	бело-кремовое	A	sg,n,nom
пятнышко	пятнышко	S	n,nom,sg
в	в	PR	
виде	вид	S	m,loc,sg
звездочки	звездочка	S	f,gen,sg
.			
При	при	PR	
уплотнении	уплотнение	S	n,loc,sg
почвы	почва	S	f,gen,sg
и	и	CONJ	
асфальтировании	асфальтировании	S	f,gen,sg
суховершинит	суховершинит	V	pres,3p,sg
.			
Морозостоек	Морозостоек	S	m,nom,sg
.			
Родина	родина	S	f,nom,sg
-			
горные	горный	A	pl,m,nom
леса	лес	S	m,nom,pl
Тянь-Шаня	Тянь-Шань	S	m,gen,sg
.			
Дико	дико	ADV	
растет	расти	V	pres,3p,sg
на	на	PR	
сухих	сухой	A	pl,m,loc
склонах	склон	S	m,loc,pl
в	в	PR	
умеренно	умеренно	ADV	
теплых	теплый	A	pl,m,loc
районах	район	S	m,loc,pl
на	на	PR	
обширной	обширный	A	sg,f,loc
территории	территория	S	f,loc,sg
от	от	PR	
Западной	западный	A	sg,f,gen
Европы	Европа	S	f,gen,sg
до	до	PR	
восточной	восточный	A	sg,f,gen
Азии	Азия	S	f,gen,sg
.			
Полученное	получить	V	partcp,pass,past,sg,n,nom
количество	количество	S	n,nom,sg
саженцев	саженец	S	m,gen,pl
затем	затем	ADV	
распределяют	распределяют	V	pres,3p,pl
пропорционально	пропорциональный	A	sg,n,nom,brev
объему	объем	S	m,dat,sg
работ	работа	S	f,gen,pl
по	по	PR	
годам	год	S	m,dat,pl
перспективного	перспективный	A	sg,m,gen
периода	период	S	m,gen,sg
и	и	CONJ	
вычисляют	вычислять	V	pres,3p,pl
среднегодовую	среднегодовую	A	sg,f,acc
потребность	потребность	S	f,acc,sg
.			
Дистальнее	Дистальнее	A	sg,m,nom,comp
места	место	S	n,gen,sg
сужения	сужение	S	n,gen,sg
проток	протока	S	f,gen,pl
не	не	PART	
визуализируется	визуализируется	V	pres,3p,sg
.			
ЗАКЛЮЧЕНИЕ	заключение	S	n,nom,sg
:			
Инфильтративные	Инфильтративные	A	pl,m,nom
изменения	изменение	S	n,nom,pl
в	в	PR	
зоне	зона	S	f,loc,sg
гепатикоэнтероанастомоза	гепатикоэнтероанастомоза	S	m,gen,sg
,			
в	в	PR	
воротах	ворота	S	m,loc,pl
печени	печень	S	f,gen,sg
,			
во	во	PR	
внутрибрюшной	внутрибрюшной	A	sg,f,loc
жировой	жировой	A	sg,f,ins
клетчатке	клетчатке	S	f,dat,sg
.			
Золотовалютные	золотовалютный	A	pl,m,nom
резервы	резерв	S	m,nom,pl
увеличились	увеличиться	V	past,pl
на	на	PR	
170	@card@		
миллиардов	миллиард	S	m,gen,pl
долларов	доллар	S	m,gen,pl
и	и	CONJ	
приближаются	приближаться	V	pres,3p,pl
к	к	PR	
отметке	отметка	S	f,loc,sg
в	в	PR	
полтриллиона	полтриллиона	S	m,acc,sg
долларов	доллар	S	m,gen,pl
США	США	S	m,gen,pl
-			
точнее	точный	A	sg,m,nom,comp
,			
478,6	@card@		
,			
по	по	PR	
последним	последний	A	pl,m,dat
данным	данные	S	m,dat,pl
(			
чуть-чуть	чуть-чуть	ADV	
понижение	понижение	S	n,nom,sg
произошло	произойти	V	past,n,sg
в	в	PR	
связи	связь	S	f,loc,sg
с	с	PR	
изменением	изменение	S	n,ins,sg
курса	курс	S	m,gen,sg
доллара	доллар	S	m,gen,sg
)			
.			
Это	это	SPRO	n,nom,sg
вершина	вершина	S	f,nom,sg
тесного	тесный	A	sg,n,gen
и	и	CONJ	
плодотворного	плодотворный	A	sg,n,gen
сотрудничества	сотрудничество	S	n,gen,sg
между	между	PR	
нашими	наш	APRO	ins,pl
странами	страна	S	f,ins,pl
.			
Мы	мы	SPRO	1p,nom,pl
еще	еще	ADV	
некоторое	некоторый	APRO	n,acc,sg
время	время	S	n,acc,sg
разговариваем	разговаривать	V	pres,1p,pl
с	с	PR	
Епископом	Епископом	S	m,ins,sg
Лукианом	Лукианом	S	m,ins,sg
,			
потом	потом	ADVPRO	
он	он	SPRO	3p,m,nom,sg
провожает	провожать	V	pres,3p,sg
меня	я	SPRO	1p,acc,sg
до	до	PR	
ворот	ворота	S	m,gen,pl
Резиденции	резиденция	S	f,gen,sg
,			
откуда	откуда	ADVPRO	
навстречу	навстречу	ADV	
нам	мы	SPRO	1p,dat,pl
идет	идти	V	pres,3p,sg
многочисленный	многочисленный	A	sg,m,nom
и	и	CONJ	
многоязычный	многоязычный	A	sg,m,nom
поток	поток	S	m,nom,sg
людей	человек	S	m,gen,pl
,			
желающих	желать	V	partcp,act,pres,pl,gen
осмотреть	осмотреть	V	inf
экспонаты	экспонат	S	m,acc,pl
Православного	православный	A	sg,m,gen
Музея	музей	S	m,gen,sg
и	и	CONJ	
посетить	посетить	V	inf
Кафедральный	кафедральный	A	sg,m,nom
Собор	собор	S	m,nom,sg
.			
Многотысячный	Многотысячный	A	sg,m,nom
коллектив	коллектив	S	m,nom,sg
"			
Газпрома	Газпром	S	m,gen,sg
"			
денно	денно	ADV	
и	и	CONJ	
нощно	нощно	ADV	
трудился	трудиться	V	past,m,sg
над	над	PR	
поставленной	поставить	V	partcp,pass,past,sg,f,ins
задачей	задача	S	f,ins,sg
.			
Там	там	ADVPRO	
оставалось	оставаться	V	past,n,sg
еще	еще	ADV	
60	@card@		
сербских	сербских	A	pl,m,gen
сел	село	S	n,gen,pl
.			
Мы	мы	SPRO	1p,nom,pl
шли	идти	V	past,pl
в	в	PR	
бой	бой	S	m,acc,sg
вместе	вместе	ADV	
и	и	CONJ	
готовы	готовый	A	pl,m,nom,brev
были	быть	V	past,pl
пролить	пролить	V	inf
кровь	кровь	S	f,nom,sg
друг	друг	SPRO	nom,sg
за	за	PR	
друга	друг	SPRO	acc,sg
.			
-			
Какие	какой	APRO	nom,pl
впечатления	впечатление	S	n,gen,sg
у	у	PR	
вас	вы	SPRO	2p,gen,pl
остались	остаться	V	past,pl
от	от	PR	
Москвы	Москва	S	f,gen,sg
в	в	PR	
1972	@card@		
году	год	S	loc,m,nom,sg
?			
-			
По	по	PR	
удивительному	удивительный	A	sg,m,dat
стечению	стечение	S	n,dat,sg
обстоятельств	обстоятельство	S	n,gen,pl
ваш	ваш	APRO	m,nom,sg
олимпийский	олимпийский	A	sg,m,nom
триумф	триумф	S	m,nom,sg
идеально	идеально	ADV	
совпал	совпасть	V	past,m,sg
по	по	PR	
времени	время	S	n,dat,sg
с	с	PR	
внедрением	внедрение	S	n,ins,sg
современных	современный	A	pl,m,gen
поролоновых	поролоновых	A	pl,m,gen
матов	мат	S	m,gen,pl
.			
Все	все	SPRO	n,nom,sg
поселение	поселение	S	n,nom,sg
можно	можно	ADV	
обойти	обойти	V	inf
неторопливым	неторопливый	A	sg,m,ins
шагом	шаг	S	m,ins,sg
за	за	PR	
10	@card@		
минут	минута	S	f,gen,pl
.			
Стабильное	стабильный	A	sg,n,nom
взаимодействие	взаимодействие	S	n,nom,sg
в	в	PR	
нефтегазовом	нефтегазовый	A	sg,m,loc
секторе	сектор	S	m,loc,sg
является	являться	V	pres,3p,sg
общим	общий	A	sg,m,ins
вкладом	вклад	S	m,ins,sg
России	Россия	S	f,gen,sg
и	и	CONJ	
Венгрии	Венгрия	S	f,gen,sg
в	в	PR	
обеспечение	обеспечение	S	n,acc,sg
энергобезопасности	энергобезопасность	S	f,gen,sg
Европы	Европа	S	f,gen,sg
.			
При	при	PR	
этом	это	SPRO	n,loc,sg
работа	работа	S	f,nom,sg
над	над	PR	
реализаций	реализаций	S	f,ins,sg
проектов	проект	S	m,gen,pl
жёстко	жёстко	ADV	
увязывалась	увязываться	V	past,f,sg
с	с	PR	
достижением	достижение	S	n,ins,sg
на	на	PR	
каждом	каждый	APRO	m,loc,sg
этапе	этап	S	m,loc,sg
целевых	целевой	A	pl,m,gen
показателей	показатель	S	m,gen,pl
.			
Наверняка	наверняка	ADV	
техника	техника	S	f,nom,sg
была	быть	V	past,f,sg
бы	бы	PART	
уже	уже	ADV	
не	не	PART	
та	тот	APRO	f,nom,sg
.			
Я	я	SPRO	1p,nom,sg
имею	иметь	V	pres,1p,sg
в	в	PR	
виду	вид	S	loc,m,nom,sg
наше	наш	APRO	n,acc,sg
сотрудничество	сотрудничество	S	n,nom,sg
в	в	PR	
сфере	сфера	S	f,loc,sg
энергетики	энергетика	S	f,gen,sg
-			
первый	первый	ANUM	m,sg
блок	блок	S	m,acc,sg
Сангтудинской	Сангтудинской	A	sg,f,gen
ГЭС	ГЭС	S	f,gen,sg
станции	станция	S	f,gen,sg
запущен	запустить	V	partcp,pass,past,sg,m,nom,brev
в	в	PR	
январе	январь	S	m,loc,sg
.			
В	в	PR	
рамках	рамка	S	f,loc,pl
национального	национальный	A	sg,m,gen
проекта	проект	S	m,gen,sg
13	@card@		
миллионов	миллион	S	m,gen,pl
человек	человек	S	m,nom,sg
